species,age,SLA_m2_kg,Reference
Picea abies,32,5.44,"Withington, J. M., Reich, P. B., Oleksyn, J., Eissenstat, D. M., 2006. Comparisons of structure and life span in roots and leaves among temperate trees. Ecological Monographs 76, 381-397."
Picea abies,37,4.9,"Mar:Möller 1945 cited in Hagar, H., Sterba, H., 1985. Specific leaf area and needle weight of Norway spruce (Picea abies) in stands of different densities. Canadian Journal of Forest Research 15, 389-392."
Picea abies,38,4.95,"Stenberg, P., Kangas, T., Smolander, H., Linder, S., 1999. Shoot structure, canopy openness, and light interception in Norway spruce. Plant, Cell and Environment 22, 1133-1142."
Picea abies,42.8,4.12,"Mund, M., Kummetz, E., Hein, M., Bauer, G. A., Schulze, E.-D., 2002. Growth and carbon stocks of a spruce forest chronosequence in central Europe. Forest Ecology and Management 171, 275-296."
Picea abies,56.5,6.666666667,"Niinemets, U., Kull, K., 1994. Leaf weight per area and leaf size of 85 Estonian woody species in relation to shade tolerance and light availability. Forest Ecology and Management 70, 1-10."
Picea abies,57.5,3.448275862,"Tarvainen, L., Wallin, G., Räntfors, M., Uddling, J., 2013. Weak vertical canopy gradients of photosynthetic capacities and stomatal responses in a fertile Norway spruce stand. Oecologia 173, 1179-1189."
Picea abies,62.5,2.6875,"Wieser, G., Hecke, K., Tausz, M., Matyssek, R., 2013. Foliage type specific susceptibility to ozone in Picea abies, Pinus cembra and Larix decidua at treeline: A synthesis. Environmental and Experimental Botany 90, 4-11."
Picea abies,65,5.4,"Burger, H., 1953. Holz, Blattmenge und Zuwachs XIII. Fichten im gleichaltrigen Hochwald. Mitt Schweiz Anst forstl Versuchswes 29, 38-130 CITED IN Hagar, H., Sterba, H., 1985. Specific leaf area and needle weight of Norway spruce (Picea abies) in stands of different densities. Canadian Journal of Forest Research 15, 389-392."
Picea abies,71.8,4.38,"Mund, M., Kummetz, E., Hein, M., Bauer, G. A., Schulze, E.-D., 2002. Growth and carbon stocks of a spruce forest chronosequence in central Europe. Forest Ecology and Management 171, 275-296."
Picea abies,76,5.8,"Droste, B. 1969. Struktur und Biomasse eines Fichtenbstandes auf Grund einer Dimensions analyse an Baumorganen."
Picea abies,112,3.76,"Mund, M., Kummetz, E., Hein, M., Bauer, G. A., Schulze, E.-D., 2002. Growth and carbon stocks of a spruce forest chronosequence in central Europe. Forest Ecology and Management 171, 275-296."
Picea abies,142.4,3.93,"Mund, M., Kummetz, E., Hein, M., Bauer, G. A., Schulze, E.-D., 2002. Growth and carbon stocks of a spruce forest chronosequence in central Europe. Forest Ecology and Management 171, 275-296."
Pinus cembra,50,4.581796522,"Li, M.-H., Kräuchi, N., Dobbertin, M., 2006. Biomass distribution of different-aged needles in young and old Pinus cembra trees at highland and lowland sites. Trees 20, 611-618."
Pinus cembra,50,4.771220001,"Li, M.-H., Kräuchi, N., Dobbertin, M., 2006. Biomass distribution of different-aged needles in young and old Pinus cembra trees at highland and lowland sites. Trees 20, 611-618."
Pinus cembra,200,4.448596468,"Li, M.-H., Kräuchi, N., Dobbertin, M., 2006. Biomass distribution of different-aged needles in young and old Pinus cembra trees at highland and lowland sites. Trees 20, 611-618."
Pinus cembra,200,4.61243975,"Li, M.-H., Kräuchi, N., Dobbertin, M., 2006. Biomass distribution of different-aged needles in young and old Pinus cembra trees at highland and lowland sites. Trees 20, 611-618."
Populus tremula,5,18.2,"Johansson, T., 1999c. Dry matter amounts and increment in 21- to 91-year-old common alder and grey alder and some practical implications. Canadian Journal of Forest Research 29, 1679-1690."
Populus tremula,8,13.6,"Johansson, T., 1999c. Dry matter amounts and increment in 21- to 91-year-old common alder and grey alder and some practical implications. Canadian Journal of Forest Research 29, 1679-1690."
Populus tremula,8,13.11783333,"Müller, A., Horna, V., Kleemann, F., Vornam, B., Leuschner, C., 2013. Physiological vs. morphological traits controlling the productivity of six aspen full-sib families. Biomass and Bioenergy 56, 274-283."
Populus tremula,9,13.3,"Johansson, T., 1999c. Dry matter amounts and increment in 21- to 91-year-old common alder and grey alder and some practical implications. Canadian Journal of Forest Research 29, 1679-1690."
Populus tremula,10,6.2,"Johansson, T., 1999c. Dry matter amounts and increment in 21- to 91-year-old common alder and grey alder and some practical implications. Canadian Journal of Forest Research 29, 1679-1690."
Populus tremula,13,11.3,"Johansson, T., 1999c. Dry matter amounts and increment in 21- to 91-year-old common alder and grey alder and some practical implications. Canadian Journal of Forest Research 29, 1679-1690."
Populus tremula,15,11.91,"Van Nevel, L. 2015. Tree species effects on Cd and Zn mobility after afforestation of contaminated soils in the Campine region (northern Belgium). PhD thesis."
Populus tremula,15,3.9,"Johansson, T., 1999c. Dry matter amounts and increment in 21- to 91-year-old common alder and grey alder and some practical implications. Canadian Journal of Forest Research 29, 1679-1690."
Populus tremula,16,10.8,"Johansson, T., 1999c. Dry matter amounts and increment in 21- to 91-year-old common alder and grey alder and some practical implications. Canadian Journal of Forest Research 29, 1679-1690."
Populus tremula,18,5,"Johansson, T., 1999c. Dry matter amounts and increment in 21- to 91-year-old common alder and grey alder and some practical implications. Canadian Journal of Forest Research 29, 1679-1690."
Populus tremula,18,7.5,"Johansson, T., 1999c. Dry matter amounts and increment in 21- to 91-year-old common alder and grey alder and some practical implications. Canadian Journal of Forest Research 29, 1679-1690."
Populus tremula,20,5.5,"Johansson, T., 1999c. Dry matter amounts and increment in 21- to 91-year-old common alder and grey alder and some practical implications. Canadian Journal of Forest Research 29, 1679-1690."
Populus tremula,20,9.769,"Johansson, T., Karaci, A., 2011. Increment and biomass in hybrid poplar and some practical implications. Biomass and Bioenergy 35, 1925-1934."
Populus tremula,24,7.6,"Johansson, T., 1999c. Dry matter amounts and increment in 21- to 91-year-old common alder and grey alder and some practical implications. Canadian Journal of Forest Research 29, 1679-1690."
Prunus avium,1,12.36450563,"Collet, C., Ferhi, A., Guehl, J., Frochot, H., 1993. Growth, gas exchange and carbon isotope discrimination in young Prunus avium trees growing with or without individual lateral shelters. Annals of Forest Science 50, 353-362."
Prunus avium,4,14.32664756,"Gonçalves, B., Correia, C. M., Silva, A. P., Bacelar, E. A., Santos, A., Moutinho-Pereira, J. M., 2008. Leaf structure and function of sweet cherry tree (Prunus avium L.) cultivars with open and dense canopies. Scientia Horticulturae 116, 381-387."
Prunus avium,5,11.00110011,"Gyeviki, M., Hrotkó, K., Honfi, P., 2012. Comparison of leaf population of sweet cherry (Prunus avium L.) trees on different rootstocks. Scientia Horticulturae 141, 30-36."
Prunus avium,5,14.38848921,"Gyeviki, M., Hrotkó, K., Honfi, P., 2012. Comparison of leaf population of sweet cherry (Prunus avium L.) trees on different rootstocks. Scientia Horticulturae 141, 30-36."
Prunus avium,5,12.00480192,"Gyeviki, M., Hrotkó, K., Honfi, P., 2012. Comparison of leaf population of sweet cherry (Prunus avium L.) trees on different rootstocks. Scientia Horticulturae 141, 30-36."
Prunus avium,5,13.79310345,"Gyeviki, M., Hrotkó, K., Honfi, P., 2012. Comparison of leaf population of sweet cherry (Prunus avium L.) trees on different rootstocks. Scientia Horticulturae 141, 30-36."
Prunus avium,6,9.56937799,"Gyeviki, M., Hrotkó, K., Honfi, P., 2012. Comparison of leaf population of sweet cherry (Prunus avium L.) trees on different rootstocks. Scientia Horticulturae 141, 30-36."
Prunus avium,6,11.53402537,"Gyeviki, M., Hrotkó, K., Honfi, P., 2012. Comparison of leaf population of sweet cherry (Prunus avium L.) trees on different rootstocks. Scientia Horticulturae 141, 30-36."
Prunus avium,6,11.0619469,"Gyeviki, M., Hrotkó, K., Honfi, P., 2012. Comparison of leaf population of sweet cherry (Prunus avium L.) trees on different rootstocks. Scientia Horticulturae 141, 30-36."
Prunus avium,6,14.61988304,"Gyeviki, M., Hrotkó, K., Honfi, P., 2012. Comparison of leaf population of sweet cherry (Prunus avium L.) trees on different rootstocks. Scientia Horticulturae 141, 30-36."
Prunus avium,8,12.11366667,"Peschiutta, M. L., Bucci, S. J., Scholz, F. G., Kowal, R. F., Goldstein, G., 2013. Leaf and stem hydraulic traits in relation to growth, water use and fruit yield in Prunus avium L. cultivars. Trees 27, 1559-1569."
Pseudotsuga menziesii,1,10,"Bansal, S., Germino, M. J., 2010. Variation in ecophysiological properties among conifers at an ecotonal boundary: comparison of establishing seedlings and established adults at timberline. Journal of Vegetation Science 21, 133-142."
Pseudotsuga menziesii,1,4,"Chen, H. Y. H., 1997. Interspecific responses of planted seedlings to light availability in interior British Columbia: survival, growth, allometric patterns, and specific leaf area. Canadian Journal of Forest Research 27, 1383-1393."
Pseudotsuga menziesii,2,8.81,"Zhang, J. W., Marshall, J. D., 1995. Variation in carbon isotope discrimination and photosynthetic gas exchange among populations of Pseudotsuga menziesii and Pinus ponderosa in different environments. Functional Ecology 9, 402-412."
Pseudotsuga menziesii,3,5.4,"Chen, H. Y. H., 1997. Interspecific responses of planted seedlings to light availability in interior British Columbia: survival, growth, allometric patterns, and specific leaf area. Canadian Journal of Forest Research 27, 1383-1393."
Pseudotsuga menziesii,4,4,"Chen, H. Y. H., Klinka, K., Kayahara, G. J., 1996. Effects of light in growth, crown architecture and specific leaf area for naturally established Pinus contorta var. latifolia and Pseudotsuga menziesii var. glauca saplings. Canadian Journal of Forest Research 26, 1149-1157."
Pseudotsuga menziesii,5,7.166666667,"Bansal, S., Harrington, C. A., Gould, P. J., St.Clair, B., 2015. Climate-related genetic variation in drought-resistance of Douglas-fir (Pseudotsuga menziesii). Global Change Biology 21, 947-958."
Pseudotsuga menziesii,15,10.78,"Van Nevel, L. 2015. Tree species effects on Cd and Zn mobility after afforestation of contaminated soils in the Campine region (northern Belgium). PhD thesis."
Pseudotsuga menziesii,15,4.25,"Zhang, J. W., Cregg, B. M., 1996. Variation in stable carbon isotope discrimination among and within exotic conifer species grown in eastern Nebraska, USA. Forest Ecology and Management 83, 181-187."
Pseudotsuga menziesii,18,6.09,"St.Clair, J. B., 1994. Genetic variation in tree structure and its relation to size in Douglas-fir. II. Crown form, branch characters, and foliage characters. Canadian Journal of Forest Research 24, 1236-1247."
Pseudotsuga menziesii,24,5.63,"Bartelink, H. H., 1996. Allometric relationships on biomass and needle area of Douglas-fir. Forest Ecology and Management 86, 193-203."
Pseudotsuga menziesii,25,3.846153846,"Smith, R. B., Waring, R. H., Perry, D. A., 1981. Interpreting foliar analyses from Douglas-fir as weight per unit of leaf area. Canadian Journal of Forest Research 11, 593-598."
Pseudotsuga menziesii,25,6.51,"Borghetti, M., Vendramin, G. G., Giannini, R., 1986. Specific leaf area and leaf area index distribution in a young Douglas-fir plantation. Canadian Journal of Forest Research 16, 1283-1288."
Pseudotsuga menziesii,32,7.41,"Withington, J. M., Reich, P. B., Oleksyn, J., Eissenstat, D. M., 2006. Comparisons of structure and life span in roots and leaves among temperate trees. Ecological Monographs 76, 381-397."
Pseudotsuga menziesii,34.6,6.2,"Weiskittel, A. R., Temesgen, H., Wilson, D. S., Maguire, D. A., 2008. Sources of within- and between-stand variability in specific leaf area of three ecologically distinct conifer species. Annals of Forest Science 65, 103."
Pseudotsuga menziesii,40,2.469135802,"Smith, R. B., Waring, R. H., Perry, D. A., 1981. Interpreting foliar analyses from Douglas-fir as weight per unit of leaf area. Canadian Journal of Forest Research 11, 593-598."
Pseudotsuga menziesii,40,6.775,"Thomas, F. M., Bögelein, R., Werner, W., 2015. Interaction between Douglas fir and European beech - investigations in pure and mixed stands. forstarchiv 86, 83-91."
Pseudotsuga menziesii,42,5.85,"Barclay, H. J., Trofymow, J. A., 2000. Relationship of readings from the LI-COR canopy analyzer to total one-sided leaf area index and stand structure in immature Douglas-fir. Forest Ecology and Management 132, 121-126."
Pseudotsuga menziesii,50,6.1,
Pseudotsuga menziesii,65,7.745,"Ishii, H., Ford, E. D., Boscolo, M. E., Manriquez, A. C., Wilson, M. E., Hinckley, T. M., 2002. Variation in specific needle area of old-growth Douglas-fir in relation to needle age, within-crown position, and epicormic shoot production. Tree Physiology 22, 31-40."
Pseudotsuga menziesii,66,5.05,"Kloeppel, B. D., Gower, S. T., Vogel, J. G., Reich, P. B., 2000. Leaf-level resource use for evergreen and deciduous conifers along a resource availability gradient. Functional Ecology 14, 281-292."
Pseudotsuga menziesii,67.5,4.47,"Gower, S. T., Grier, C. C., Vogt, D. J., Vogt, K. A., 1987. Allometric relations of deciduous (Larix occidentalis) and evergreen conifers (Pinus contorta and Pseudotsuga menziesii) of the Cascade Mountains in central Washington. Canadian Journal of Forest Research 17, 630-634."
Pseudotsuga menziesii,92,4.8,"Kloeppel, B. D., Gower, S. T., Vogel, J. G., Reich, P. B., 2000. Leaf-level resource use for evergreen and deciduous conifers along a resource availability gradient. Functional Ecology 14, 281-292."
Pseudotsuga menziesii,250,4.675,"Gholz, H. L., Fitz, F. K., Waring, R. H., 1976. Leaf area differences associated with old-growth forest communities in the western Oregon Cascades. Canadian Journal of Forest Research 6, 49-57."
Pseudotsuga menziesii,450,5.519006292,"Ishii, H., Ford, E. D., Boscolo, M. E., Manriquez, A. C., Wilson, M. E., Hinckley, T. M., 2002. Variation in specific needle area of old-growth Douglas-fir in relation to needle age, within-crown position, and epicormic shoot production. Tree Physiology 22, 31-40."
Quercus ilex,2.5,5,"Juárez-López, F. J., Escudero, A., Mediavilla, S., 2008. Ontogenetic changes in stomatal and biochemical limitations to photosynthesis of two co-occurring Mediterranean oaks differing in leaf life span. Tree Physiology 28, 367-374."
Quercus ilex,20,3.937007874,"Sardans, J., Peñuelas, J., Rodà, F., 2006. Plasticity of leaf morphological traits, leaf nutrient content, and water capture in the Mediterranean evergreen oak Quercus ilex subsp. ballota in response to fertilization and changes in competitive conditions. Écoscience 13, 258-270."
Quercus ilex,30,5.405405405,"Rambal, S., Damesin, C., Methy, R. J. M., Seen, D. L., 1996. Optimization of carbon gain in canopies of Mediterranean evergreen oaks. Annals of Forest Science 53, 547-560."
Quercus ilex,30,6.666666667,"Rambal, S., Damesin, C., Methy, R. J. M., Seen, D. L., 1996. Optimization of carbon gain in canopies of Mediterranean evergreen oaks. Annals of Forest Science 53, 547-560."
Quercus ilex,43,5.464480874,"Damesin, C., Rambal, S., Joffre, R., 1998. Co-occurrence of trees with different leaf habit: a functional approach on Mediterranean oaks. Acta Oecologica 19, 195-204."
Quercus ilex,50,4.329004329,"Bussotti, F., Bettini, D., Grossoni, P., Mansuino, S., Nibbi, R., Soda, C., Tani, C., 2002. Structural and functional traits of Quercus ilex in response to water availability. Environmental and Experimental Botany 47, 11-23."
Quercus ilex,50,5.681818182,"Bussotti, F., Bettini, D., Grossoni, P., Mansuino, S., Nibbi, R., Soda, C., Tani, C., 2002. Structural and functional traits of Quercus ilex in response to water availability. Environmental and Experimental Botany 47, 11-23."
Quercus ilex,55,4.201680672,"Sperlich, D., Chang, C. T., Peñuelas, J., Gracia, C., Sabaté, S., 2015. Seasonal variability of foliar photosynthetic and morphological traits and drought impacts in a Mediterranean mixed forest. Tree Physiology 35, 501-520."
Quercus ilex,55,5.235602094,"Sperlich, D., Chang, C. T., Peñuelas, J., Gracia, C., Sabaté, S., 2015. Seasonal variability of foliar photosynthetic and morphological traits and drought impacts in a Mediterranean mixed forest. Tree Physiology 35, 501-520."
Quercus ilex,62,4.449190247,"StPaul, N. K. M., Limousin, J.-M., Rodriguez-Calcerrada, J., Ruffault, J., Rambal, S., Letts, M. G., Misson, L., 2012. Photosynthetic sensitivity to drought varies among populations of Quercus ilex along a rainfall gradient. Functional Plant Biology 39, 25-37."
Quercus ilex,64,4.517936207,"StPaul, N. K. M., Limousin, J.-M., Rodriguez-Calcerrada, J., Ruffault, J., Rambal, S., Letts, M. G., Misson, L., 2012. Photosynthetic sensitivity to drought varies among populations of Quercus ilex along a rainfall gradient. Functional Plant Biology 39, 25-37."
Quercus ilex,68,4.318535153,"StPaul, N. K. M., Limousin, J.-M., Rodriguez-Calcerrada, J., Ruffault, J., Rambal, S., Letts, M. G., Misson, L., 2012. Photosynthetic sensitivity to drought varies among populations of Quercus ilex along a rainfall gradient. Functional Plant Biology 39, 25-37."
Quercus ilex,80,4.3,"Vaz, M., Maroco, J., Ribeiro, N., Gazarini, L. C., Pereira, J. S., Chaves, M. M., 2011. Leaf-level responses to light in two co-occurring Quercus (Quercus ilex and Quercus suber): leaf structure, chemical composition and photosynthesis. Agroforestry Systems 82, 173-181 AND Vaz, M., Pereira, J. S., Gazarini, L. C., David, T. S., David, J. S., Rodrigues, A., Maroco, J., Chaves, M. M., 2010. Drought-induced photosynthetic inhibition and autumn recovery in two Mediterranean oak species (Quercus ilex and Quercus suber). Tree Physiology 30, 946-956."
Quercus ilex,100,4.545454545,"Juárez-López, F. J., Escudero, A., Mediavilla, S., 2008. Ontogenetic changes in stomatal and biochemical limitations to photosynthesis of two co-occurring Mediterranean oaks differing in leaf life span. Tree Physiology 28, 367-374."
Quercus ilex,100,4.461795873,"Escudero, A., Fernández, J., Cordero, A., Mediavilla, S., 2013. Distribution of leaf characteristics in relation to orientation within the canopy of woody species. Acta Oecologica 48, 13-20."
Quercus petraea,4,11.9,"Gieger, T., Thomas, F. M., 2002. Effects of defoliation and drought stress on biomass partitioning and water relations of Quercus robur and Quercus petraea. Basic and Applied Ecology 3, 171-181."
Quercus petraea,15,12.78,"Van Nevel, L. 2015. Tree species effects on Cd and Zn mobility after afforestation of contaminated soils in the Campine region (northern Belgium). PhD thesis."
Quercus petraea,30,8.326394671,"Epron, D., Dreyer, E., 1993. Long-term effects of drought on photosynthesis of adult oak trees [Quercus petraea (Matt.) Liebl. and Quercus robur L.] in a natural stand. New Phytologist 125, 381-389."
Quercus petraea,43,13.91788448,"Bréda, N., Granier, A., Aussenac, G., 1995. Effects of thinning on soil and tree water relations, transpiration and growth in an oak forest (Quercus petraea (Matt.) Liebl.). Tree Physiology 15, 295-306."
Quercus robur,2,20.4465,"Giertych, M. J., Karolewski, P., Oleksyn, J., 2015. Carbon allocation in seedlings of deciduous tree species depends on their shade tolerance. Acta Physiol Plant 37, 216."
Quercus robur,3,23.9,"Adriaenssens, S., Staelens, J., Wuyts, K., Schrijver, A. d., Wittenberghe, S. V., Wuytack, T., Kardel, F., Verheyen, K., Samson, R., Boeckx, P., 2011. Foliar nitrogen uptake from wet deposition and the relation with leaf wettability and water storage capacity. Water, Air, & Soil Pollution 219, 43-57."
Quercus robur,4,15.85,"Jensen, A. M., Löf, M., Gardiner, E. S., 2011. Effects of above- and below-ground competition from shrubs on photosynthesis, transpiration and growth in Quercus robur L. seedlings. Environmental and Experimental Botany 71, 367-375."
Quercus robur,5,20.33898305,"Kuehne, C., Nosko, P., Horwath, T., Bauhus, J., 2014. A comparative study of physiological and morphological seedling traits associated with shade tolerance in introduced red oak (Quercus rubra) and native hardwood tree species in southwestern Germany. Tree Physiology 34, 184-193."
Quercus robur,10.2,15.38461538,"Niinemets, Ü., 1996. Changes in foliage distribution with relative irradiance and tree size: Differences between the saplings of Acer platanoides and Quercus robur. Ecological Applications 11, 269-281."
Quercus robur,20,13.4,"Nikoliã, N. P., Krstiã, B. Ð., Pajeviã, S. P., Orloviã, S. S., 2006. Variability of leaf characteristics in different Pedunculate Oak genotypes (Quercus robur L.). Proc. Nat. Sci, Matica Srpska Novi Sad 110, 95-105."
Quercus robur,30,8.631851532,"Epron, D., Dreyer, E., 1993. Long-term effects of drought on photosynthesis of adult oak trees [Quercus petraea (Matt.) Liebl. and Quercus robur L.] in a natural stand. New Phytologist 125, 381-389."
Quercus robur,32,17.2,"Withington, J. M., Reich, P. B., Oleksyn, J., Eissenstat, D. M., 2006. Comparisons of structure and life span in roots and leaves among temperate trees. Ecological Monographs 76, 381-397."
Quercus robur,52.5,12.85,"Wuytack, T., Verheyen, K., Wuyts, K., Adriaenssens, S., Staelens, J., Samson, R., 2013b. The use of leaf characteristics of Common Oak (Quercus robur L.) to monitor ambient ammonia concentrations. Water, Air, & Soil Pollution 224, 1356."
Quercus robur,70,15,"Batos, B., Miletid, Z., Miljkovid, D., 2015. Relationships between specific leaf area and macronutrient concentrations of pedunculate oak (Quercus robur L.) leaves. International conference Reforestation Challenges, Belgrade, Serbia, Reforesta."
Quercus robur,100,16.165,"Catoni, R., Gratani, L., Sartori, F., Varone, L., Granata, M. U., 2015. Carbon gain optimization in five broadleaf deciduous trees in response to light variation within the crown: correlations among morphological, anatomical and physiological leaf traits. Acta Botanica Croatica 74, 71-94."
Quercus robur,120,13.32445037,"Kazada, M., Salzer, J., Reiter, I., 2000. Photosynthetic capacity in relation to nitrogen in the canopy of a Quercus robur, Fraxinus angustifolia and Tilia cordata flood plain forest. Tree Physiology 20, 1029-1037."
Quercus robur,175,15,"Morecroft, M. D., Roberts, J. M., 1999. Photosynthesis and stomatal conductance of mature canopy Oak (Quercus robur) and Sycamore (Acer pseudoplatanus) trees throughout the growing season. Functional Ecology 13, 332-342."
Quercus robur,180,13.6,"Hölscher, D., 2004. Leaf traits and photosynthetic parameters of saplings and adult trees of co-existing species in a temperate broad-leaved forest. Basic and Applied Ecology 5, 163-172."
Robinia pseudoacacia,5,22.22222222,"Tanaka-Oda, A., Kenzo, T., Koretsune, S., Sasaki, H., Fukuda, K., 2010. Ontogenetic changes in water-use efficiency (d13C) and leaf traits differ among tree species growing in a semiarid region of the Loess Plateau, China. Forest Ecology and Management 259, 953-957."
Robinia pseudoacacia,15,26.32,"Van Nevel, L. 2015. Tree species effects on Cd and Zn mobility after afforestation of contaminated soils in the Campine region (northern Belgium). PhD thesis."
Robinia pseudoacacia,15,26.31578947,"Tanaka-Oda, A., Kenzo, T., Koretsune, S., Sasaki, H., Fukuda, K., 2010. Ontogenetic changes in water-use efficiency (d13C) and leaf traits differ among tree species growing in a semiarid region of the Loess Plateau, China. Forest Ecology and Management 259, 953-957."
Robinia pseudoacacia,30,29.41176471,"Tanaka-Oda, A., Kenzo, T., Koretsune, S., Sasaki, H., Fukuda, K., 2010. Ontogenetic changes in water-use efficiency (d13C) and leaf traits differ among tree species growing in a semiarid region of the Loess Plateau, China. Forest Ecology and Management 259, 953-957."
Robinia pseudoacacia,100,19.91,"Catoni, R., Gratani, L., Sartori, F., Varone, L., Granata, M. U., 2015. Carbon gain optimization in five broadleaf deciduous trees in response to light variation within the crown: correlations among morphological, anatomical and physiological leaf traits. Acta Botanica Croatica 74, 71-94."
Tilia cordata,32,30.9,"Withington, J. M., Reich, P. B., Oleksyn, J., Eissenstat, D. M., 2006. Comparisons of structure and life span in roots and leaves among temperate trees. Ecological Monographs 76, 381-397."
Tilia cordata,80,17.8,"Hölscher, D., 2004. Leaf traits and photosynthetic parameters of saplings and adult trees of co-existing species in a temperate broad-leaved forest. Basic and Applied Ecology 5, 163-172."
Tilia cordata,100,22.615,"Legner, N., Fleck, S., Leuschner, C., 2013. Low light acclimation in five temperate broad-leaved tree species of different successional status: the significance of a shade canopy. Annals of Forest Science 70, 557-570."
Tilia cordata,100,19.82,"Legner, N., Fleck, S., Leuschner, C., 2014. Within-canopy variation in photosynthetic capacity, SLA and foliar N in temperate broad-leaved trees with contrasting shade tolerance.  28, 263-280."
Tilia platyphyllos,80,19.4,"Hölscher, D., 2004. Leaf traits and photosynthetic parameters of saplings and adult trees of co-existing species in a temperate broad-leaved forest. Basic and Applied Ecology 5, 163-172."
Sorbus aucuparia,na,11.2,112 cm2/g; Ďurkovic et al. 2012 LEAF TRAITS IN PARENTAL AND HYBRID SPECIES OF SORBUS
Sorbus aria,na,10.6,106 cm2/g; Durkovic et al. 2012
Ostrya carpinifolia,na,25.5,"255 cm2/g;  Gratani, L. and Foti, I., 1998, Estimating forest structure and shade tolerance of the species in a mixed deciduous broad-leaved forest in Abruzzo, Italy. In Annales Botanici Fennici (pp. 75-83). Finnish Zoological and Botanical Publishing Board."
Acer obtusatum,na,19.63,196.3 cm2/g Gratani 1998
Sorbus aria,na,15.6,156 cm2/g Gratani 1998
Quercus cerris,na,14.8,148 cm2/g Gratani 1998
Quercus pubes,na,14.5,145 cm2/g Gratani 1998
Fraxinus ornus,na,17.5,175 cm2/g Gratani 1998
Malus sylve,na,15.4,154 cm2/g Gratani 1998
Corylus avellana,na,32.1,321 cm2/g Gratani 1998
Crataegus mono,na,14.0,140 cm2/g Gratani 1998
Cornus sangui,na,27.3,273 cm2/g Gratani 1998
Taxus baccata,na,9.7,96.8 cm2/g. Devaney 2015 Light responses of yew (Taxus baccata L.)
Ulmus glabra,na,9.45,"94.5 cm2/g  Venturas, M., López, R., Gascó, A. and Gil, L., 2013. Hydraulic properties of European elms: xylem safety-efficiency tradeoff and species distribution in the Iberian Peninsula. Trees, 27, pp.1691-1701."
Ulmus,na,10.34,103.4 cm2/g. Venturas et al 2013
Salix caprea,na,16.4,"164 cm2/g. Dušek, J. and Květ, J., 2006. Seasonal dynamics of dry weight, growth rate and root/shoot ratio in different aged seedlings of Salix caprea. Biologia, 61, pp.441-447."
Salix,na,10.9,"Weih, M., Nordh, N.E., Manzoni, S. and Hoeber, S., 2021. Functional traits of individual varieties as determinants of growth and nitrogen use patterns in mixed stands of willow (Salix spp.). Forest Ecology and Management, 479, p.118605."
Laburnum anagyroides,na,30.513,"305.13; Gratani L, Foti I. Estimating forest structure and shade tolerance of the species in a mixed deciduous broad-leaved forest in Abruzzo, Italy. InAnnales Botanici Fennici 1998 Jan 1 (pp. 75-83). Finnish Zoological and Botanical Publishing Board."
Acer,na,20.72667,
Fraxinus,na,17.29,
Tilia,na,22.107,
Sambucus nigra,na,16.79625,
Rhamnus,na,16.79625,
Sambucus,na,16.79625,
Ulmus laevis,na,9.895,
Lians,na,,
